id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type
1,75000000.0,2021 10 01T18:01:44.000Z,EL TAREF,BON TAT,IDEAPAD,,INTEL CORE I5 750S,4GB,128GB,,14.0,,,,Intel Core i5-1250P,66.66666666666666,4,"19,108",28.0,Intel UHD Graphics 730,fuzzy_tier_validated
2,33500000.0,2021 11 10T21:24:14.000Z,COLLO,JAMAIS UTILIS,AERO,NVIDIA GEFORCE RTX 3060,11TH GEN INTEL CORE I7 11800H,16GB,1TB,,15.6,,3840x2160,,Intel Core i7-11800H @ 2.30GHz,69.23076923076923,8,"19,776",45.0,Intel UHD Graphics,fuzzy_tier_validated
3,17000000.0,2021 09 11T20:27:59.000Z,MECHERIA,,STEALTH,NVIDIA GEFORCE GTX 1060,INTEL CORE I7 7700HQ,16GB,,,17.3,120Hz,,,Intel Core i7-7700HQ @ 2.80GHz,100.0,4,"6,881",45.0,Intel HD Graphics 630,fuzzy_tier_validated
4,12000000.0,2025 03 06T00:28:39.000Z,ES SENIA,,ROG,NVIDIA GEFORCE RTX 1650,AMD RYZEN 7 5800HS,16GB,512GB,,14.0,,,,AMD Ryzen 7 5800HS,100.0,8,"19,476",35.0,AMD Radeon Graphics,fuzzy_tier_validated
5,11000000.0,2024 10 09T18:10:21.000Z,TIZI OUZOU,BON TAT,,AMD RADEON RX 580,AMD RYZEN 5 2400G,16GB,128GB,145GB,,60Hz,,,AMD Ryzen 5 240,93.75,6,"22,980",45.0,AMD Radeon 860M,fuzzy_tier_validated
6,9999999.0,2025 02 18T21:30:18.000Z,MOHAMMADIA,,XPS,,10TH GEN INTEL CORE I5 10300H,8GB,512GB,,15.0,,1920x1080,,Intel Core i5-10300H @ 2.50GHz,69.23076923076923,4,"8,201",45.0,Intel UHD Graphics,fuzzy_tier_validated
7,9900000.0,2025 04 29T19:42:16.000Z,CHELGHOUM LAID,,THINKPAD,,AMD RYZEN 5 7520U,8GB,,,,,,,AMD Ryzen 5 7520U,100.0,4,"9,025",15.0,AMD Radeon 610M,fuzzy_tier_validated
8,9000000.0,2025 07 01T17:26:43.000Z,ALGER CENTRE,BON TAT,LATITUDE,,11TH GEN INTEL CORE I5,16GB,512GB,,,,,,Generic INTEL I5 11th Gen,100.0,4,10769,35.0,Intel UHD Graphics,generic (based on 9 CPUs)
9,8976378.0,2025 02 23T10:25:42.000Z,MOSTAGANEM,JAMAIS UTILIS,SWORD,NVIDIA GEFORCE RTX 4070,INTEL CORE I7 13700HX,16GB,1TB,,16.0,,,,Intel Core i7-13700HX,100.0,8,"32,047",55.0,Intel UHD Graphics 770,fuzzy_tier_validated
10,8400000.0,2024 12 11T23:17:24.000Z,HAMMA BOUZIANE,BON TAT,LATITUDE,,11TH GEN INTEL CORE I5 1145G7,8GB,256GB,,14.0,,,DDR4,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy_tier_validated
11,8000000.0,2024 10 15T22:42:29.000Z,BORDJ BOU ARRERIDJ,,PAVILION,,AMD RYZEN 5 PRO 8540U,16GB,256GB,,13.0,,,,Generic AMD RYZEN 5,100.0,6,15882,28.0,AMD Radeon Graphics,generic (based on 65 CPUs)
12,8000000.0,2025 03 21T18:52:03.000Z,AIN FAKROUN,,LATITUDE,,11TH GEN INTEL CORE I5 1135G7,16GB,512GB,,14.0,,1920x1080,,Intel Core i5-1135G7 @ 2.40GHz,69.23076923076923,4,"9,399",15.0,Intel Iris Xe Graphics,fuzzy_tier_validated
13,7900000.0,2025 05 31T12:53:56.000Z,AIN SMARA,BON TAT,ELITEBOOK,,INTEL CORE I5 1235U,16GB,512GB,,15.0,,,,Intel Core i5-1235U,100.0,2,"12,682",15.0,Intel UHD Graphics,fuzzy_tier_validated
14,7200000.0,2025 07 27T13:24:22.000Z,TOLGA,JAMAIS UTILIS,,,10TH GEN INTEL CORE I5 10210U,,,,,,,,Intel Core i5-10210U @ 1.60GHz,74.28571428571428,4,"6,069",15.0,Intel UHD Graphics,fuzzy_tier_validated
15,7000000.0,2025 07 02T15:47:12.000Z,ALGER CENTRE,BON TAT,LATITUDE,,INTEL CORE I5 8365U,16GB,256GB,,14.1,,,,Intel Core i5-8365U @ 1.60GHz,100.0,4,"5,951",15.0,Intel UHD Graphics 620,fuzzy_tier_validated
16,6800000.0,2024 11 16T13:03:22.000Z,SOUK AHRAS,BON TAT,THINKPAD,,11TH GEN INTEL CORE I7 1165G7,8GB,512GB,,16.4,,,,Intel Core i7-1165G7 @ 2.80GHz,69.23076923076923,4,"9,839",15.0,Intel Iris Xe Graphics,fuzzy_tier_validated
17,6500000.0,2024 08 27T19:50:09.000Z,,,LATITUDE,,11TH GEN INTEL CORE I5,8GB,256GB,,12.0,,,,Generic INTEL I5 11th Gen,100.0,4,10769,35.0,Intel UHD Graphics,generic (based on 9 CPUs)
18,6000000.0,2022 12 11T15:54:20.000Z,AIN AZEL,BON TAT,MACBOOK,,INTEL CORE I5,4GB,512GB,,13.0,,,DDR3,Generic INTEL I5,100.0,2,4047,28.0,Intel HD Graphics 4600,generic (based on 162 CPUs)
19,6000000.0,2025 07 30T12:33:14.000Z,BOUZAREAH,BON TAT,VIVOBOOK,,AMD RYZEN 5 4500U,8GB,,,,,,,AMD Ryzen 5 4500U,100.0,6,"10,692",15.0,AMD Radeon Graphics,fuzzy_tier_validated
20,6000000.0,2025 02 22T16:46:31.000Z,DJENDEL,,THINKPAD,,8TH GEN INTEL CORE I5 8250U,8GB,256GB,,14.0,,1920x1080 FHD,DDR4,Intel Core i5-8250U @ 1.60GHz,68.75,4,"5,800",15.0,Intel UHD Graphics 620,fuzzy_tier_validated
